Fecha,Hora,Radiacion,Temperatura
2020-01-30,02,-1,298.55
2020-01-30,02,-1,298.55
2020-01-30,02,-1,298.45
2020-01-30,02,-1,298.45
2020-01-30,02,-1,298.45
2020-01-30,02,-1,298.45
2020-01-30,02,-1,298.45
2020-01-30,02,-1,298.45
2020-01-30,02,-1,298.45
2020-01-30,02,-1,298.45
2020-01-30,03,-1,298.45
2020-01-30,03,-1,298.45
2020-01-30,03,-1,298.45
2020-01-30,03,-1,298.45
2020-01-30,03,0,298.45
2020-01-30,03,-1,298.45
2020-01-30,03,-1,298.45
2020-01-30,03,-1,298.45
2020-01-30,03,-1,298.45
2020-01-30,03,-1,298.45
2020-01-30,03,-1,298.35
2020-01-30,03,-1,298.35
2020-01-30,04,-1,298.45
2020-01-30,04,-1,298.45
2020-01-30,04,-1,298.45
2020-01-30,04,0,298.45
2020-01-30,04,-1,298.45
2020-01-30,04,-1,298.45
2020-01-30,04,-1,298.45
2020-01-30,04,-1,298.45
2020-01-30,04,-1,298.45
2020-01-30,04,-1,298.45
2020-01-30,04,-1,298.45
2020-01-30,04,-1,298.45
2020-01-30,05,-2,298.35
2020-01-30,05,-2,298.25
2020-01-30,05,-2,298.25
2020-01-30,05,-2,298.15
2020-01-30,05,-2,298.15
2020-01-30,05,-2,298.05
2020-01-30,05,-2,297.95
2020-01-30,05,-2,297.85
2020-01-30,05,-1,297.75
2020-01-30,05,-1,297.65
2020-01-30,05,-1,297.65
2020-01-30,05,-1,297.55
2020-01-30,06,-1,297.55
2020-01-30,06,-1,297.55
2020-01-30,06,-1,297.45
2020-01-30,06,-1,297.45
2020-01-30,06,0,297.45
2020-01-30,06,0,297.45
2020-01-30,06,1,297.45
2020-01-30,06,3,297.45
2020-01-30,06,3,297.45
2020-01-30,06,3,297.55
2020-01-30,06,6,297.55
2020-01-30,06,9,297.55
2020-01-30,07,9,297.65
2020-01-30,07,9,297.65
2020-01-30,07,8,297.75
2020-01-30,07,7,297.85
2020-01-30,07,7,297.85
2020-01-30,07,9,297.95
2020-01-30,07,10,298.05
2020-01-30,07,17,298.15
2020-01-30,07,30,298.15
2020-01-30,07,34,298.15
2020-01-30,07,44,298.15
2020-01-30,07,43,298.25
